commit	val_score	triggers	status	description
0e61c4d	0.297243	250	discard	E=E014/oi_crash_delayed_30s_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.59 best_sl=4.60 elapsed=0.3s
0e61c4d	0.096481	250	discard	E=E015/oi_crash_pretrend_aligned_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.28 best_sl=5.57 elapsed=0.3s
0e61c4d	0.103471	85	discard	E=E016/oi_crash_oversold_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.47 best_sl=4.60 elapsed=0.1s
0e61c4d	-0.070677	206	discard	E=E017/oi_pump_high_premium_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.87 elapsed=0.3s
0e61c4d	0.084623	878	discard	E=E018/oi_pump_low_premium_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=0.9s
0e61c4d	0.000000	0	crash	E=E019/oi_crash_high_funding_long X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
0e61c4d	0.000000	0	crash	E=E020/oi_crash_negative_funding_short X=X001/fixed_tp1_sl1_symmetric | error=no_events_for_channel
0e61c4d	0.084623	878	discard	E=E021/oi_pump_btc_bull_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.48 elapsed=0.9s
0e61c4d	0.059914	878	discard	E=E022/oi_pump_btc_bear_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.20 best_sl=4.91 elapsed=1.0s
0e61c4d	0.131950	765	discard	E=E023/oi_change_diverge_taker_long X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.28 best_sl=5.92 elapsed=0.4s
0e61c4d	-0.084414	70	discard	E=E024/oi_change_diverge_taker_short X=X001/fixed_tp1_sl1_symmetric | n_var=90000 best_tp=0.24 best_sl=0.74 elapsed=0.1s
