entry_id,archetype,channel,side,novel_dim,n_exits_tested,best_score,median_score,best_exit,best_exit_family,best_tp,best_sl,best_triggers
E126,pc_pump_taker_buy_extreme_long,pricechange,long,side_signal=pump; taker_buy_ratio_5m>=0.7,13,0.394617,-0.28,fixed_tp1_sl1_symmetric,fixed,0.51,6.0,3443
E064,pc_pump_taker_buy_dominant_long,pricechange,long,side_signal=pump; taker_buy_ratio_5m>=0.6,13,0.357179,-0.28,fixed_tp1_sl1_symmetric,fixed,0.47,6.0,3619
E148,pc_pump_global_short_high_long,pricechange,long,side_signal=pump; global_short_ratio_high,13,0.349617,-0.28,fixed_tp1_sl1_symmetric,fixed,0.47,6.0,988
E051,pc_high_liquidity_long,pricechange,long,liquidity_bucket=high; side_signal=pump,13,0.347159,-0.28,fixed_tp1_sl1_symmetric,fixed,0.47,6.0,2157
E066,pc_crash_taker_buy_long,pricechange,long,side_signal=crash; taker_buy_ratio_5m>=0.55,13,0.339337,-0.28,fixed_tp1_sl1_symmetric,fixed,0.43,6.0,3684
E036,pc_first_signal_immediate_long,pricechange,long,delay_seconds=0; burst_count_5m=1; side_signal=pump,14,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E038,pc_first_signal_30s_long,pricechange,long,delay_seconds=30; burst_count_5m=1,14,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E039,pc_first_signal_1m_long,pricechange,long,delay_seconds=60; burst_count_5m=1,14,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E040,pc_first_signal_3m_long,pricechange,long,delay_seconds=180,14,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E041,pc_second_signal_cont_long,pricechange,long,burst_count_5m=2; side_signal=pump,14,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E046,pc_burst_seq_4plus_avoid,pricechange,both,burst_count_5m>=4,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E047,pc_pretrend_aligned_long,pricechange,long,pretrend_5m_pos; side_signal=pump,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E049,pc_pretrend_against_long,pricechange,long,pretrend_5m_pos; side_signal=crash,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E053,pc_btc_correlated_long,pricechange,long,btc_correlation_30d>=0.6; side_signal=pump,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E054,pc_low_btc_correl_long,pricechange,long,btc_correlation_30d<=0.3; side_signal=pump,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E055,pc_short_event_hold_1m_long,pricechange,long,fixed_hold_minutes=1,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E056,pc_short_event_hold_3m_long,pricechange,long,fixed_hold_minutes=3,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E057,pc_pump_low_premium_long,pricechange,long,side_signal=pump; premium_bps_in_-5_5,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E062,pc_pump_oi_rising_long,pricechange,long,side_signal=pump; oi_change_5m_pos,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E067,pc_pump_btc_bull_long,pricechange,long,side_signal=pump; btc_24h_pct>=0,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E129,pc_pump_basis_align_long,pricechange,long,side_signal=pump; basis_narrowing,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E131,pc_pump_4th_or_more_avoid,pricechange,both,burst_count_5m>=4,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E132,pc_pump_btc_extreme_correlated_long,pricechange,long,side_signal=pump; btc_correlation_30d>=0.8,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E133,pc_pump_btc_no_correlation_long,pricechange,long,side_signal=pump; btc_correlation_30d<=0.1,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E136,pc_pump_funding_resetting_long,pricechange,long,side_signal=pump; funding_just_reset,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E139,pc_pump_volume_5x_baseline_long,pricechange,long,side_signal=pump; volume_5x_baseline,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E144,pc_pump_macro_event_avoid,pricechange,both,near_macro_event,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E149,pc_pump_aggressive_buy_immediate_long,pricechange,long,side_signal=pump; aggressive_buy_5m,13,0.290282,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,6.0,5000
E146,pc_pump_top_trader_short_long,pricechange,long,side_signal=pump; top_trader_position_ratio_dec,13,0.283357,-0.28,fixed_tp1_sl1_symmetric,fixed,0.39,5.81,989
E127,pc_pump_taker_buy_extreme_against_pretrend_short,pricechange,short,side_signal=pump; taker_buy_ratio_5m>=0.7; pretrend_5m_neg,13,0.267755,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,3443
E037,pc_first_signal_immediate_short,pricechange,short,delay_seconds=0; burst_count_5m=1; side_signal=crash,14,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E042,pc_second_signal_cont_short,pricechange,short,burst_count_5m=2; side_signal=crash,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E043,pc_second_signal_reversal_short,pricechange,short,burst_count_5m=2; side_change=true,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E044,pc_third_plus_overheat_short,pricechange,short,burst_count_5m>=3; side_signal=pump,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E045,pc_third_plus_high_vol_short,pricechange,short,burst_count_5m>=3; volume_pct_above_p90,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E048,pc_pretrend_aligned_short,pricechange,short,pretrend_5m_neg; side_signal=crash,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E050,pc_pretrend_against_short,pricechange,short,pretrend_5m_neg; side_signal=pump,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E059,pc_crash_low_premium_short,pricechange,short,side_signal=crash; premium_bps_in_-5_5,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E063,pc_pump_oi_falling_short,pricechange,short,side_signal=pump; oi_change_5m_neg,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E068,pc_pump_btc_bear_short,pricechange,short,side_signal=pump; btc_24h_pct<=-1,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E128,pc_pump_basis_diverge_short,pricechange,short,side_signal=pump; basis_widening,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E130,pc_pump_2nd_within_30s_overheated_short,pricechange,short,burst_count_5m=2; burst_density_30s=2,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E140,pc_pump_volume_below_baseline_short,pricechange,short,side_signal=pump; volume_below_baseline,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E143,pc_pump_weekend_short,pricechange,short,side_signal=pump; weekday in [Sat;Sun],13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E150,pc_pump_aggressive_sell_short,pricechange,short,side_signal=pump; aggressive_sell_5m,13,0.263608,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E091,cc_pc_then_oi_5m_long,*,long,pc_signal_then_oi_within_5m; side_signal=pump,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E092,cc_oi_then_pc_5m_long,*,long,oi_signal_then_pc_within_5m; side_signal=pump,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
E094,cc_oi_pc_simultaneous_long,*,long,oi_and_pc_within_60s; side_signal=pump,13,0.252993,-0.28,fixed_tp1_sl1_symmetric,fixed,0.36,6.0,5000
