strategy_family,channel,event_type,side,entry_timing,tested_strategies,sample_gt15_count,sample_ge50_count,sample_ge100_count,median_sample_size,max_sample_size,best_median_net_pct,median_of_median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,best_stability_score,positive_stress_rate_pct,positive_p10_rate_pct,future_safety_pass_rate_pct,median_baseline_lift_pct,unique_clusters,unique_exit_families,unique_entry_families,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,entry_catalog_score
cross_channel_continuation,ANY,pump,long,30s,507,507,370,92,59.0,102,14.328685402870178,2.31473408639431,-3.2241586595773697,0.0417179229313135,0.0022897583957761,0.3850672499999999,0.6350916750000001,100.0,0.0,100.0,2.7664635330438614,5,4,1,16.0,v6_db29ab44a8d91f53d0,50,validated_watchlist,0.5671844660194175
freshness_strict_confirmation,BWE_pricechange_monitor,pump,long,5m,7066,7066,6845,6845,441.0,679,9.548064321279526,5.35205714404583,-5.224158987402916,0.0217621947753429,0.0083597235336899,0.46493565,0.545480925,76.19586753467308,0.0,100.0,5.803786590695381,30,9,1,5.895691609977324,v6_e27215359aa01c4f7b,441,higher_confidence_watchlist,0.5648543689320389
premium_basis_overheat,ANY,crash,long,1m,523,523,0,0,31.0,31,12.845396995544434,0.751950591802597,-0.6187762133777142,0.0392064128798246,0.0024241388821601,0.3657268499999999,0.6013791000000002,100.0,0.0,100.0,1.2036800384521484,6,2,1,29.03225806451613,v6_0bceebf6674d4be965,29,early_alpha,0.5492233009708739
contrarian_crash_fade,ANY,ANY,long,1m,790,790,790,790,1344.0,1344,10.678303986787796,7.731988281011581,-5.224158987402916,0.0237015869915485,0.0139894820213317,0.5397620750000001,0.5952157250000001,74.68354430379746,0.0,100.0,8.183717727661133,9,7,1,4.389880952380952,v6_5d82a3a0b770a4096f,1344,higher_confidence_watchlist,0.5454368932038834
taker_flow_reversal,BWE_OI_Price_monitor,pump,long,T0,1086,1086,841,707,148.0,478,11.01423129439354,1.7758410423994064,-1.7241587862372398,0.0418429663360118,0.0039592480245977,0.4064791499999999,0.6771147750000001,69.24493554327809,0.0,100.0,2.227570489048958,10,5,1,4.72972972972973,v6_94e1e0808cb585f7e4,478,higher_confidence_watchlist,0.5386407766990292
oi_funding_continuation,ANY,ANY,long,30s,443,443,326,251,111.0,1491,21.36099636554718,1.4586348086595535,-2.2241588681936264,0.0958586414843797,0.002886785807982,0.361574525,0.749931125,81.26410835214448,0.0,100.0,1.910364255309105,6,5,1,5.8350100603621735,v6_72c3cbdf7dcc2925de,79,validated_watchlist,0.5361165048543689
liquidity_filtered_momentum,ANY,ANY,long,3m,231,231,231,231,1430.0,1430,4.700871556997299,4.700871556997299,-3.2241586595773697,0.0086205744707584,0.0086205744707584,0.4807849,0.4807849,100.0,0.0,100.0,5.152601003646851,4,2,1,8.461538461538462,v6_3e825ddc11e1541ed6,1430,higher_confidence_watchlist,0.5346601941747573
freshness_strict_confirmation,BWE_pricechange_monitor,ANY,short,5m,190,190,0,0,23.0,23,2.7148937806487083,1.6748936846852305,-1.3055229559540749,0.0090450480708852,0.0089890077605843,0.377137025,0.4031877,100.0,23.157894736842103,100.0,2.1266231313347816,2,2,1,34.78260869565217,v6_ce6d2920b4e69b84f5,23,early_alpha,0.5324271844660194
state_machine_runner,BWE_OI_Price_monitor,crash,short,T0,687,687,14,0,27.0,74,18.59171390533448,1.7273325473070145,-3.740436583757401,0.0532985221982002,0.0020894692362017,0.3082075499999999,0.6019536999999999,100.0,0.0,100.0,2.179061993956566,8,5,1,30.0,v6_c946df13457418a78f,20,early_alpha,0.5322330097087379
premium_basis_overheat,ANY,ANY,long,5m,2052,2052,1877,1323,169.0,3659,13.922671973705292,3.5351205617189407,-3.0170513316988945,0.0479430464595556,0.0036971830882132,0.364835625,0.669566575,68.27485380116958,0.0,100.0,3.986850008368492,20,8,1,12.017167381974248,v6_fe51132f0924f11716,122,higher_confidence_watchlist,0.5264077669902913
