strategy_id,strategy_family,side,entry_timing,exit_family,sample_size,sample_tier,median_net_pct,p10_net_pct,stress_fee_slippage_median_net_pct,cost_stress_gap_pct,robust_score,strategy_similarity_cluster_id,baseline_lift_pct
v6_43bedcac918ab09768,premium_basis_overheat,long,5m,state_machine,266,higher_confidence_watchlist,13.800176978111269,-5.224158987402916,13.531860709190369,0.2683162689209002,0.0479430464595556,cluster_44b1e403c8,14.25190642476082
v6_56236653a96c83a102,freshness_strict_confirmation,long,5m,time_decay,273,higher_confidence_watchlist,14.828334748744965,-4.224158823490143,14.560016989707949,0.26831775903701605,0.0476695572912693,cluster_e2ad8b35fc,15.280064195394516
v6_f659bda7526d587034,state_machine_runner,long,T0,multi_tp_sl,321,higher_confidence_watchlist,7.275841385126114,4.486499726772308,7.007523626089096,0.2683177590370178,0.0471036273449659,cluster_9c6ab89bb6,7.727570831775665
v6_12bde3d39da44b8e14,message_context_breakout,long,30s,runner_trail,201,higher_confidence_watchlist,15.529470145702362,-3.2241586595773697,15.261152386665344,0.2683177590370178,0.0469806695312261,cluster_b854801864,15.981199592351913
v6_5aaa1d605a45c70b86,contrarian_crash_fade,long,30s,multi_tp_sl,321,higher_confidence_watchlist,7.275841385126114,4.494784772396088,7.007523626089096,0.2683177590370178,0.0468119123905897,cluster_15c7781bb1,7.727570831775665
v6_79ee6311110d055c83,state_machine_runner,long,T0,multi_tp_sl,321,higher_confidence_watchlist,7.275841385126114,4.486499726772308,7.007523626089096,0.2683177590370178,0.0468036273449659,cluster_e8987371cb,7.727570831775665
v6_01d0e491925adb941b,premium_basis_overheat,long,1m,state_machine,266,higher_confidence_watchlist,13.36502730846405,-5.224158987402916,13.096711039543152,0.26831626892089844,0.0466178463339805,cluster_baf7428d05,13.816756755113602
v6_288ba4cc22ea021af4,premium_basis_overheat,long,1m,state_machine,266,higher_confidence_watchlist,13.36502730846405,-5.224158987402916,13.096711039543152,0.26831626892089844,0.0466178463339805,cluster_d284f869a8,13.816756755113602
v6_aa7aa6c862877107ef,message_context_breakout,long,5m,breakeven_ratchet,273,higher_confidence_watchlist,15.25508463382721,-3.2241586595773697,14.986766874790192,0.2683177590370178,0.0460203202396631,cluster_8c53307066,15.70681408047676
v6_30d779d348239c9e70,liquidity_filtered_momentum,long,T0,breakeven_ratchet,455,higher_confidence_watchlist,14.861002564430237,-3.2241586595773697,14.59268480539322,0.26831775903701605,0.0446410329967737,cluster_e38f80fe47,15.312732011079788
v6_81a500583e293e79b6,liquidity_filtered_momentum,long,T0,breakeven_ratchet,455,higher_confidence_watchlist,14.861002564430237,-3.2241586595773697,14.59268480539322,0.26831775903701605,0.0446410329967737,cluster_e91a929109,15.312732011079788
v6_5ac844ceedf8fc5828,message_context_breakout,long,5m,runner_trail,201,higher_confidence_watchlist,14.645671844482422,-3.2241586595773697,14.377354085445404,0.2683177590370178,0.0438873754769563,cluster_35483fc23f,15.097401291131973
