strategy_family,side,entry_timing,exit_family,tested_strategies,sample_gt15_count,sample_ge50_count,sample_ge100_count,median_sample_size,max_sample_size,best_median_net_pct,median_of_median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,best_stability_score,positive_stress_rate_pct,positive_p10_rate_pct,future_safety_pass_rate_pct,median_baseline_lift_pct,unique_clusters,unique_exit_families,unique_entry_families,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,combined_funnel_score
oi_funding_continuation,long,1m,partial_ladder,884,884,739,739,185.0,472,9.173708409070969,5.53370900452137,-5.224158987402916,0.030699804803729,0.0121960129089653,0.4477615749999999,0.5604226000000001,100.0,0.0,100.0,5.985438451170921,6,1,1,8.050847457627118,v6_cf3dec2fb6da5ee618,185,higher_confidence_watchlist,0.5209865470852019
cross_channel_continuation,long,30s,breakeven_ratchet,86,86,86,0,50.0,50,14.328685402870178,14.328685402870178,-3.2241586595773697,0.0417179229313135,0.0417179229313135,0.6350916750000001,0.6350916750000001,100.0,0.0,100.0,14.78041484951973,1,1,1,16.0,v6_db29ab44a8d91f53d0,50,validated_watchlist,0.517713004484305
freshness_strict_confirmation,long,1m,runner_trail,887,887,265,0,35.0,82,19.61088627576828,6.092653423547745,-5.224158987402916,0.0540456250029802,0.017065725749731,0.4026648750000001,0.5960208,100.0,0.0,100.0,6.544382870197296,9,1,1,18.29268292682927,v6_da6fa9f8982f487c5f,29,early_alpha,0.5156053811659194
contrarian_crash_fade,long,30s,prove_or_exit,752,752,444,0,63.0,93,17.454664409160614,1.319577544927597,-1.4529175125062466,0.0548656936326622,0.0033172950081527,0.3810639,0.628981125,100.0,0.0,100.0,1.7713069915771484,6,1,1,23.809523809523807,v6_cd624e1938855bfabc,63,validated_watchlist,0.5112107623318386
contrarian_crash_fade,long,1m,partial_ladder,193,193,193,193,764.0,3795,8.988559246063232,5.02345934510231,-5.224158987402916,0.0371065746456384,0.0174887073621153,0.4979848249999999,0.6061344750000002,100.0,0.0,100.0,5.475188791751862,4,1,1,4.057591623036649,v6_396a4128d37a99550a,764,higher_confidence_watchlist,0.5025560538116592
oi_funding_continuation,long,1m,prove_or_exit,663,663,663,220,51.0,284,5.511675029993057,3.996090590953827,-1.1522621847689152,0.0184080945511162,0.012932360330522,0.4880302249999999,0.5572741999999999,100.0,0.0,100.0,4.447820037603378,2,1,1,7.84313725490196,v6_7fe0fab8a032de3823,284,higher_confidence_watchlist,0.4995067264573991
premium_basis_overheat,long,1m,multi_tp_sl,527,527,527,527,764.0,3795,8.650991320610046,4.696343839168549,-5.224158987402916,0.0310147143959999,0.0040307332672178,0.407363775,0.642798075,100.0,0.0,100.0,5.1480732858181,3,1,1,4.057591623036649,v6_72fe86e0c1a04427bd,764,higher_confidence_watchlist,0.4983856502242152
premium_basis_overheat,long,5m,fixed_tp_sl,453,453,16,16,23.0,1322,7.775840908288956,1.708259433507919,-1.1554325930774212,0.0225005230188369,0.0036971830882132,0.331223125,0.54926025,100.0,16.777041942604857,100.0,2.1599888801574707,4,1,1,21.73913043478261,v6_a7800baf9e9563ddb4,1322,higher_confidence_watchlist,0.4982062780269058
premium_basis_overheat,long,5m,multi_tp_sl,344,344,38,38,25.0,1130,7.275841385126114,7.275841385126114,-2.2241588681936264,0.0404644144266843,0.0101392505681514,0.38691565,0.6546552750000001,100.0,0.0,100.0,7.727570831775665,6,1,1,16.0,v6_0abf23b4296f2a28b6,25,early_alpha,0.4942600896860986
freshness_strict_confirmation,long,5m,multi_tp_sl,707,707,707,707,441.0,3795,7.275841385126114,4.68161553144455,-5.224158987402916,0.0297994282603263,0.0032985340942442,0.3806921249999999,0.561936575,100.0,0.0,100.0,5.133344978094101,9,1,1,5.895691609977324,v6_a2c2ca55a74e895f5b,764,higher_confidence_watchlist,0.4920179372197309
premium_basis_overheat,long,1m,prove_or_exit,789,789,86,0,33.0,51,15.66728800535202,4.35279980301857,-5.224158987402916,0.0484963499608635,0.0101486077228239,0.4013582750000001,0.5805587,100.0,0.0,100.0,4.804529249668121,4,1,1,35.294117647058826,v6_95d98180ceb9af8c20,33,exploratory_watchlist,0.4900896860986546
freshness_strict_confirmation,long,30s,indicator_invalidation,538,538,111,0,35.0,64,19.70979869365692,2.3031407967209816,-3.574330359697342,0.0545518184655904,0.0065261631356179,0.3752928499999999,0.6160322250000001,100.0,0.0,100.0,2.754870243370533,8,1,1,12.5,v6_408a8ffaff5840ef75,40,exploratory_watchlist,0.489506726457399
contrarian_crash_fade,long,T0,multi_tp_sl,258,258,204,66,63.0,227,11.775840818881989,2.7758410200476646,-2.2241588681936264,0.061542965516448,0.010651035875827,0.413751575,0.6234842,100.0,0.0,100.0,3.227570466697216,5,1,1,25.396825396825395,v6_2a1d5d86953b3cb895,227,higher_confidence_watchlist,0.4876681614349775
oi_funding_continuation,short,1m,breakeven_ratchet,399,399,0,0,36.0,36,14.956560730934145,11.70533522963524,-5.224158987402916,0.0366754855960607,0.0259161963415145,0.5000273,0.5223282500000002,100.0,0.0,100.0,12.157064676284792,2,1,1,13.88888888888889,v6_c0eed5ab8431a36210,21,early_alpha,0.4820179372197309
oi_funding_continuation,long,1m,indicator_invalidation,443,443,0,0,27.0,27,12.867695093154907,12.867695093154907,-5.224158987402916,0.0302674188267963,0.0302674188267963,0.5113283750000001,0.5113283750000001,100.0,0.0,100.0,13.31942453980446,1,1,1,51.85185185185185,v6_bf7be28c08463032f2,27,early_alpha,0.4806726457399103
freshness_strict_confirmation,long,1m,fixed_tp_sl,66,66,66,66,373.0,679,7.775840908288956,7.775840908288956,-2.2241588681936264,0.0219768701159954,0.0216768701159954,0.5466684,0.5481712000000001,100.0,0.0,100.0,8.227570354938507,3,1,1,6.702412868632708,v6_2325dd04d3de676b65,373,higher_confidence_watchlist,0.4739910313901346
freshness_strict_confirmation,long,1m,partial_ladder,529,529,166,166,39.0,120,6.957217305898666,4.955501109361649,-5.224158987402916,0.0240785957813262,0.0090580108219385,0.3895805750000001,0.5063480250000001,100.0,0.0,100.0,5.4072305560112,11,1,1,26.08695652173913,v6_8d5c2d7aa485df9076,120,higher_confidence_watchlist,0.4721076233183856
freshness_strict_confirmation,long,5m,fixed_tp_sl,455,455,455,455,441.0,3795,7.775840908288956,4.775841161608696,-5.224158987402916,0.0231718086585402,0.0024097622618079,0.38821775,0.528798225,100.0,0.0,100.0,5.227570608258247,10,1,1,5.895691609977324,v6_8f3180fe622238f820,373,higher_confidence_watchlist,0.4689686098654708
premium_basis_overheat,long,5m,partial_ladder,212,212,137,137,173.0,543,9.822586923837662,4.938801378011704,-5.224158987402916,0.0289484774285554,0.0066145751217007,0.4246876999999999,0.58865755,100.0,0.0,100.0,5.390530824661256,4,1,1,7.734806629834254,v6_a04163964ebeaa88cf,173,higher_confidence_watchlist,0.4595067264573991
oi_funding_continuation,long,3m,multi_tp_sl,232,232,201,201,764.0,3795,7.275841385126114,2.025841176509857,-5.224158987402916,0.0297192578673362,0.0066901723951101,0.4065463,0.56169275,100.0,0.0,100.0,2.477570623159409,5,1,1,4.057591623036649,v6_f7f5f18593b84e4d58,764,higher_confidence_watchlist,0.4575336322869955
contrarian_crash_fade,long,T0,failed_continuation,686,686,0,0,42.0,42,0.4713915288448334,0.4713915288448334,-0.3880031406879425,0.0029572578985244,0.0029572578985244,0.431175125,0.431175125,100.0,0.0,100.0,0.9231209754943848,4,1,1,28.57142857142857,v6_afd57bb7682fd2e1a9,42,exploratory_watchlist,0.4551121076233184
premium_basis_overheat,short,5m,time_decay,180,180,0,0,43.0,43,7.406754046678543,7.406754046678543,-4.224158823490143,0.0153911626929044,0.0153911626929044,0.490595625,0.490595625,100.0,0.0,100.0,7.8584834933280945,2,1,1,20.930232558139537,v6_cf9d227c0ebdfbf6e3,43,exploratory_watchlist,0.4464125560538116
contrarian_crash_fade,long,T0,breakeven_ratchet,393,393,306,306,154.0,206,4.557856172323227,1.6994737088680267,-1.6356386244297028,0.0061624988628551,0.0030882246334105,0.38850235,0.499487125,100.0,0.0,100.0,2.151203155517578,6,1,1,22.727272727272727,v6_5ce75e75efb7d471c9,186,higher_confidence_watchlist,0.4462780269058296
liquidity_filtered_momentum,long,3m,state_machine,179,179,179,0,80.0,80,10.895635932683945,8.795635402202606,-3.2241586595773697,0.0295422497856616,0.022192247928977,0.4883230750000001,0.5364516500000001,100.0,0.0,100.0,9.247364848852158,1,1,1,28.75,v6_430ef5cc5236659d7e,80,validated_watchlist,0.442914798206278
liquidity_filtered_momentum,long,3m,partial_ladder,203,203,178,178,669.0,669,8.020460605621338,3.89874279499054,-3.2241586595773697,0.0202391361409425,0.0056033392959833,0.44223185,0.5444881250000001,100.0,0.0,100.0,4.350472241640091,2,1,1,3.1390134529147984,v6_43c8509cc87251b4d7,669,higher_confidence_watchlist,0.4385201793721973
message_context_breakout,long,30s,multi_tp_sl,145,145,145,145,489.0,904,7.275841385126114,4.275841265916824,-3.2241586595773697,0.0168066422748565,0.0068082986950874,0.476779225,0.485903,100.0,0.0,100.0,4.727570712566376,3,1,1,4.4989775051124745,v6_cf441b9387f9a6c3e3,904,higher_confidence_watchlist,0.4375784753363229
contrarian_crash_fade,long,1m,multi_tp_sl,116,116,116,116,764.0,3795,7.275841385126114,4.696343839168549,-5.224158987402916,0.0310147143959999,0.0067161867827177,0.407363775,0.5672872250000001,100.0,0.0,100.0,5.1480732858181,3,1,1,4.057591623036649,v6_589e2ba45518ee5e67,764,higher_confidence_watchlist,0.4274439461883408
message_context_breakout,long,30s,partial_ladder,219,219,219,219,501.0,501,6.306932121515274,4.48693223297596,-3.2241586595773697,0.0145417864465713,0.0081717868366837,0.44450245,0.49247465,100.0,0.0,100.0,4.938661679625511,1,1,1,10.379241516966069,v6_6158606f83cdadcecc,501,higher_confidence_watchlist,0.4246188340807175
