strategy_family,side,entry_timing,exit_family,rows,unique_clusters,median_sample,max_sample,best_median,median_of_medians,median_p10,best_p10,median_stress,best_stress,positive_p10_rate,positive_stress_rate,best_robust,median_robust,median_top_symbol_share,longform_score
contrarian_crash_fade,long,3m,state_machine,878,6,52.0,155,16.443711519241333,2.229909226298332,-4.890594258904457,0.2685588784515857,1.9615914672613144,16.175392270088196,5.5808656036446465,100.0,0.0428205133551359,0.0046066395634412,15.384615384615383,0.5956053811659193
state_machine_runner,long,3m,partial_ladder,1667,7,764.0,3795,9.516467899084091,4.736439138650894,-2.2241588681936264,-2.2241588681936264,4.468121379613876,9.248150140047072,0.0,100.0,0.0353685635536909,0.0108325010120868,4.057591623036649,0.5917488789237668
contrarian_crash_fade,long,1m,failed_continuation,307,4,764.0,1344,15.008828043937685,7.731988281011581,-5.224158987402916,-5.224158987402916,7.463670521974564,14.740510284900664,0.0,100.0,0.0538630376964807,0.0139894820213317,4.389880952380952,0.5907174887892377
oi_funding_continuation,long,3m,breakeven_ratchet,524,4,1344.0,1344,14.491167664527891,7.706322520971298,-5.224158987402916,-5.224158987402916,7.43800476193428,14.222849905490875,0.0,100.0,0.052337811461091,0.0138996518611907,4.389880952380952,0.5905381165919282
freshness_strict_confirmation,long,5m,breakeven_ratchet,694,6,441.0,1344,14.663413166999815,7.52268061041832,-5.224158987402916,-5.224158987402916,7.254362851381302,14.3950954079628,0.0,100.0,0.0525757830053567,0.0131888128280639,5.895691609977324,0.589237668161435
contrarian_crash_fade,long,1m,fixed_tp_sl,113,3,764.0,3795,4.775841161608696,4.775841161608696,-5.224158987402916,1.275841053575277,4.507523402571678,4.507523402571678,34.51327433628318,100.0,0.0232686552390456,0.0095332424458116,4.057591623036649,0.5840807174887892
taker_flow_reversal,long,30s,breakeven_ratchet,106,1,478.0,478,9.72033366560936,9.72033366560936,-1.7241587862372398,-1.7241587862372398,9.452015906572342,9.452015906572342,0.0,100.0,0.030528691470921,0.030528691470921,3.1380753138075312,0.5824215246636771
contrarian_crash_fade,long,1m,breakeven_ratchet,237,3,764.0,1344,15.318235754966736,8.167900890111923,-5.224158987402916,-5.224158987402916,7.899583131074905,15.049917995929718,0.0,100.0,0.0572854350715875,0.0155151761531829,4.389880952380952,0.5817040358744394
freshness_strict_confirmation,long,30s,partial_ladder,2095,15,29.0,522,11.868534237146378,6.714252382516861,-2.2241588681936264,-0.582453515380621,6.445934623479843,11.60021647810936,0.0,100.0,0.0548159125964394,0.0178487860445729,37.93103448275862,0.5810762331838564
liquidity_filtered_momentum,long,T0,fixed_tp_sl,857,9,347.0,1401,4.775841161608696,4.775841161608696,-3.2241586595773697,-1.7241587862372398,4.507523402571678,4.507523402571678,0.0,100.0,0.0244429677292704,0.0087608511254191,2.850877192982456,0.5754708520179372
message_context_breakout,long,5m,runner_trail,271,2,201.0,273,14.645671844482422,13.605672121047974,-3.2241586595773697,-3.2241586595773697,13.337354362010956,14.377354085445404,0.0,100.0,0.0438873754769563,0.0402473764449358,6.467661691542288,0.5719730941704035
