strategy_similarity_cluster_id,strategy_family,side,exit_family,strategies,sample_gt15_count,median_sample_size,best_median_net_pct,median_net_pct,median_p10_net_pct,best_robust_score,median_robust_score,median_stability_score,positive_stress_rate_pct,future_safety_pass_rate_pct,median_top_symbol_share_pct,best_strategy_id,best_sample_size,best_sample_tier,neighborhood_stability_score,source_cluster_strategies,source_cluster_best_strategy_id,source_cluster_best_robust_score
cluster_31cd6b276c,state_machine_runner,long,time_decay,239,239,455.0,13.868565857410433,13.868565857410433,-4.224158823490143,0.038167504030466,0.038167504030466,0.7047634749999999,100.0,100.0,2.6373626373626373,v6_a2f6b5deb5cd6a2cf0,455,higher_confidence_watchlist,0.7936268656716419,239,v6_a2f6b5deb5cd6a2cf0,0.038167504030466
cluster_266f6863e7,contrarian_crash_fade,long,breakeven_ratchet,528,528,954.0,16.359075903892517,9.997739642858503,-2.2241588681936264,0.0662154625564813,0.0309196121454238,0.6966069,100.0,100.0,6.079664570230608,v6_ca079a098134e29fac,954,higher_confidence_watchlist,0.7934253731343284,642,v6_b532aaa73dc86fe528,0.0662154625564813
cluster_c1b8217d92,state_machine_runner,long,state_machine,524,524,764.0,13.980646431446075,11.12479493021965,-2.2241588681936264,0.0555833057016134,0.0341043056511879,0.6616511250000001,100.0,100.0,4.057591623036649,v6_f847513d696c0fc493,764,higher_confidence_watchlist,0.7926194029850747,656,v6_f847513d696c0fc493,0.0555833057016134
cluster_4ab0f65c46,premium_basis_overheat,long,failed_continuation,531,531,764.0,15.008828043937685,7.860329002141952,-2.2241588681936264,0.0538630376964807,0.0234386749029159,0.650545875,100.0,100.0,4.057591623036649,v6_99271105ccf1623905,764,higher_confidence_watchlist,0.7922014925373134,642,v6_99271105ccf1623905,0.0538630376964807
cluster_5532b9ac86,oi_funding_continuation,long,runner_trail,398,398,121.0,16.432498395442963,12.664766609668732,-1.2241588905453682,0.0945406697750091,0.0605617020338773,0.7343836750000001,100.0,100.0,7.43801652892562,v6_7e6a8f041576db957d,121,higher_confidence_watchlist,0.7920820895522387,398,v6_7e6a8f041576db957d,0.0945406697750091
cluster_e08f5fc460,state_machine_runner,long,runner_trail,532,532,764.0,13.272584974765778,10.792584717273712,-2.2241588681936264,0.0533802041739225,0.0335026661896705,0.6477830250000001,100.0,100.0,4.057591623036649,v6_cab095b217a2b1757e,764,higher_confidence_watchlist,0.7916940298507462,661,v6_cab095b217a2b1757e,0.0533802041739225
cluster_6852ac795b,state_machine_runner,long,runner_trail,529,529,764.0,13.272584974765778,10.792584717273712,-2.2241588681936264,0.0536802041739225,0.0338026661896705,0.648888875,100.0,100.0,4.057591623036649,v6_0e6568908e803e6e2d,764,higher_confidence_watchlist,0.789858208955224,657,v6_0e6568908e803e6e2d,0.0536802041739225
cluster_db4ea0711e,contrarian_crash_fade,long,runner_trail,541,541,954.0,13.57506513595581,9.952736645936966,-2.2241588681936264,0.0569147694319486,0.0307621016561985,0.66334,100.0,100.0,6.079664570230608,v6_943437e35372f4f784,954,higher_confidence_watchlist,0.7888283582089552,647,v6_943437e35372f4f784,0.0569147694319486
cluster_c5b0e6564e,liquidity_filtered_momentum,long,runner_trail,355,355,340.0,13.507437705993652,12.707436084747314,-3.2241586595773697,0.0399035559922456,0.0371035503178834,0.6875396500000001,100.0,100.0,5.294117647058823,v6_3d20acb9600710ec6d,340,higher_confidence_watchlist,0.788141791044776,513,v6_3d20acb9600710ec6d,0.0399035559922456
cluster_c70fd6c9bb,state_machine_runner,long,breakeven_ratchet,291,291,954.0,16.315671801567078,16.315671801567078,-5.224158987402916,0.066847915521264,0.066847915521264,0.7345055249999999,100.0,100.0,6.079664570230608,v6_67463f5d4fa68204f9,954,higher_confidence_watchlist,0.7873358208955223,494,v6_67463f5d4fa68204f9,0.066847915521264
cluster_c2bfea91df,state_machine_runner,long,failed_continuation,291,291,954.0,15.998563170433044,15.998563170433044,-5.224158987402916,0.061771650186181,0.061771650186181,0.726896075,100.0,100.0,6.079664570230608,v6_4e58403f555a9c81b9,954,higher_confidence_watchlist,0.7854328358208955,491,v6_4e58403f555a9c81b9,0.061771650186181
cluster_0eeb26dc06,state_machine_runner,long,breakeven_ratchet,533,533,764.0,14.491167664527891,8.937301486730576,-2.2241588681936264,0.052037811461091,0.0267480785989761,0.6261861000000001,100.0,100.0,4.057591623036649,v6_f5d81f3b554c31b1e7,764,higher_confidence_watchlist,0.7837985074626866,663,v6_8d3ebec704c367f8d5,0.052037811461091
