rule,side,activation,giveback,hard_stop,max_hold,trades,mean_exit_ret,median_exit_ret,p10_exit_ret,p25_exit_ret,win_rate,mean_mfe,mean_mae,capture_ratio,score
L_pullback_ema_reclaim,long,25,0.35,9,60,55,5.3614305911564495,7.7918612408272026,-9.0,-9.0,0.5818181818181818,16.809040394391197,-10.73664346172698,0.31896113432777756,-3.6385694088435505
L_pullback_ema_reclaim,long,25,0.65,6,120,50,2.3099365882653387,-6.0,-6.0,-6.0,0.36,19.837665330506923,-15.136261170746021,0.11644195774958724,-3.6900634117346613
L_pullback_ema_reclaim,long,12,0.5,6,30,55,2.291051487220623,-2.868579052701814,-6.0,-6.0,0.45454545454545453,12.268363736828306,-8.447461828353408,0.18674466590382655,-3.708948512779377
L_breakout_20_vol_oi,long,12,0.25,6,240,51,2.204458454803575,-6.0,-6.0,-6.0,0.49019607843137253,18.468177933840042,-15.36412489848322,0.11936523801648295,-3.795541545196425
L_pullback_ema_reclaim,long,12,0.65,9,60,54,5.181160955685985,3.472001110410994,-9.0,-9.0,0.6111111111111112,16.442119166737708,-10.933066750771145,0.31511515657710576,-3.818839044314015
L_pullback_ema_reclaim,long,35,0.5,9,240,48,5.17556358580909,-9.0,-9.0,-9.0,0.375,32.717408786358966,-18.31211640581014,0.15818989882740847,-3.8244364141909104
L_pullback_ema_reclaim,long,8,0.65,6,60,54,2.1627500392468715,-0.8021957480299324,-6.0,-6.0,0.48148148148148145,16.442119166737708,-10.933066750771145,0.13153718309146548,-3.8372499607531285
L_breakout_20_vol_oi,long,8,0.25,18,60,50,2.737140230783009,5.684773209442229,-6.5904691597093015,-1.9264732160445912,0.7,12.147378638160944,-8.604395836484915,0.22532764576748213,-3.8533289289262926
L_pullback_ema_reclaim,long,18,0.25,6,30,55,2.1154556736838255,-2.868579052701814,-6.0,-6.0,0.45454545454545453,12.268363736828306,-8.447461828353408,0.17243176996239976,-3.8845443263161745
L_pullback_ema_reclaim,long,18,0.35,6,30,55,2.1063970829985736,-2.868579052701814,-6.0,-6.0,0.45454545454545453,12.268363736828306,-8.447461828353408,0.1716934000477502,-3.8936029170014264
L_pullback_ema_reclaim,long,35,0.5,18,240,48,14.10454941770026,10.26007662280497,-18.0,-18.0,0.625,32.717408786358966,-18.31211640581014,0.4311022767665189,-3.8954505822997394
L_pullback_ema_reclaim,long,8,0.5,6,60,54,2.0690568843623525,-0.8021957480299324,-6.0,-6.0,0.48148148148148145,16.442119166737708,-10.933066750771145,0.12583882061553478,-3.9309431156376475
L_pullback_ema_reclaim,long,12,0.5,9,60,54,5.02929209449478,3.721801087817578,-9.0,-9.0,0.6111111111111112,16.442119166737708,-10.933066750771145,0.30587858192081485,-3.97070790550522
L_pullback_ema_reclaim,long,18,0.35,9,240,55,4.999437030600631,10.952626453571646,-9.0,-9.0,0.5636363636363636,35.57257290952811,-16.418818349988694,0.1405419012933285,-4.000562969399369
L_pullback_ema_reclaim,long,35,0.5,6,120,50,1.9944206973378826,-6.0,-6.0,-6.0,0.32,19.837665330506923,-15.136261170746021,0.10053706744769034,-4.005579302662118
L_pullback_ema_reclaim,long,18,0.25,9,120,55,4.903910411797069,8.884447674418606,-9.0,-9.0,0.6,23.262615237946317,-13.946470743202257,0.21080649624457265,-4.096089588202931
L_pullback_ema_reclaim,long,8,0.65,6,30,55,1.8858471845549285,-1.0567645461760256,-6.0,-6.0,0.4727272727272727,12.268363736828306,-8.447461828353408,0.1537162758627557,-4.114152815445071
L_breakout_20_vol_oi,long,8,0.35,18,60,50,2.475715508256796,4.283410733675119,-6.5904691597093015,-2.4577966955702357,0.68,12.147378638160944,-8.604395836484915,0.20380656452737422,-4.114753651452506
L_pullback_ema_reclaim,long,35,0.35,6,240,51,1.8417468205638112,-6.0,-6.0,-6.0,0.27450980392156865,33.67783068801311,-17.528273529052147,0.05468721657358236,-4.158253179436189
L_pullback_ema_reclaim,long,18,0.65,6,120,50,1.831639817455614,-6.0,-6.0,-6.0,0.38,19.837665330506923,-15.136261170746021,0.0923314204035324,-4.168360182544386
L_pullback_ema_reclaim,long,18,0.35,9,120,55,4.822852507106402,8.884447674418606,-9.0,-9.0,0.6,23.262615237946317,-13.946470743202257,0.20732202539460373,-4.177147492893598
L_pullback_ema_reclaim,long,35,0.35,9,240,49,4.8098180711017475,-9.0,-9.0,-9.0,0.40816326530612246,33.04232751778682,-17.961864501020226,0.1455653530615421,-4.1901819288982525
L_pullback_ema_reclaim,long,35,0.65,6,120,50,1.7752016508142179,-6.0,-6.0,-6.0,0.32,19.837665330506923,-15.136261170746021,0.08948641996113639,-4.224798349185782
L_pullback_ema_reclaim,long,25,0.65,18,240,48,13.74281262986246,7.421718694466306,-18.0,-14.204515541878601,0.625,32.717408786358966,-18.31211640581014,0.42004587586998393,-4.25718737013754
