event_ts_ms,event_minute_ms,source,post_id,event_side,text
1777702544979,1777702500000,BWE_pricechange_monitor,78692,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.4% in the past 10 seconds 💰 市值 LAB MarketCap: 418M
1777702664803,1777702620000,BWE_pricechange_monitor,78693,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内下跌 3.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.6% in the past 60 seconds 💰 市值 LAB MarketCap: 418M
1777702827015,1777702800000,BWE_pricechange_monitor,78694,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.1% in the past 10 seconds 💰 市值 LAB MarketCap: 418M
1777702947004,1777702920000,BWE_pricechange_monitor,78695,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内上涨 4.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) +4.1% in the past 60 seconds 💰 市值 LAB MarketCap: 418M
1777703142366,1777703100000,BWE_pricechange_monitor,78697,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.4%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.4% in the past 10 seconds 💰 市值 LAB MarketCap: 418M
1777703240414,1777703220000,BWE_OI_Price_monitor,13349,up,"🇨🇳 🔻 LABUSDT 币安未平仓合约量 -5.2%，过去 3600 秒价格下跌 6.6%，未平仓合约量：4110 万美元，未平仓合约量/市值比率：9.8%，24 小时价格变动：+141.7% 🇺🇸 🔻 LABUSDT Binance openinterest -5.2%, Price -6.6% in the past 3600 seconds, OI: $41.1M, OI/Marketcap ratio: 9.8%, 24H Price Change: +141.7% 💰 市值 LAB MarketCap: 418M"
1777703261967,1777703220000,BWE_pricechange_monitor,78699,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.7%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.7% in the past 3 seconds 💰 市值 LAB MarketCap: 418M
1777703460152,1777703460000,BWE_pricechange_monitor,78700,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.1% in the past 10 seconds 💰 市值 LAB MarketCap: 418M
1777703645025,1777703640000,BWE_pricechange_monitor,78702,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内下跌 3.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.6% in the past 60 seconds 💰 市值 LAB MarketCap: 418M
1777703876860,1777703820000,BWE_pricechange_monitor,78704,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2% in the past 3 seconds 💰 市值 LAB MarketCap: 418M
1777703997804,1777703940000,BWE_pricechange_monitor,78705,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内下跌 3.7%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.7% in the past 60 seconds 💰 市值 LAB MarketCap: 418M
1777704162922,1777704120000,BWE_pricechange_monitor,78706,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内下跌 3.8%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.8% in the past 60 seconds 💰 市值 LAB MarketCap: 418M
1777704359330,1777704300000,BWE_pricechange_monitor,78707,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内下跌 3.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.6% in the past 60 seconds 💰 市值 LAB MarketCap: 418M
1777704478993,1777704420000,BWE_pricechange_monitor,78708,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内下跌 3.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) -3.6% in the past 60 seconds 💰 市值 LAB MarketCap: 418M
1777704649996,1777704600000,BWE_pricechange_monitor,78709,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.5%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.5% in the past 3 seconds 💰 市值 LAB MarketCap: 418M
1777704707078,1777704660000,BWE_Reserved6,398,up,🇨🇳 🟢 LABUSDT 币安期货价格在过去 180 秒内上涨了 10.8%。 🇺🇸 🟢 LABUSDT Binance futures price surged 10.8% in the past 180 seconds 💰 市值 LAB MarketCap: 418M
1777704793719,1777704780000,BWE_pricechange_monitor,78710,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内上涨 4.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) +4.6% in the past 60 seconds 💰 市值 LAB MarketCap: 418M
1777704916694,1777704900000,BWE_pricechange_monitor,78712,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内下跌 2.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.2% in the past 10 seconds 💰 市值 LAB MarketCap: 418M
1777705225994,1777705200000,BWE_pricechange_monitor,78715,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2% in the past 3 seconds 💰 市值 LAB MarketCap: 397M
1777705685115,1777705680000,BWE_pricechange_monitor,78716,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 4.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -4.2% in the past 3 seconds 💰 市值 LAB MarketCap: 397M
1777705685116,1777705680000,BWE_pricechange_monitor,78717,down,"🇨🇳 Bybit.P 监控：LABUSDT 在过去 10 秒内下跌了 6.6%，买价：1.7075，卖价：1.70939，最新价：1.70715。 🇺🇸 Bybit.P Monitor: LABUSDT -6.6% in the past 10 seconds, bid: 1.7075, ask: 1.70939, last: 1.70715. 💰 市值 LAB MarketCap: 397M"
1777705809422,1777705800000,BWE_pricechange_monitor,78718,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内下跌 4.2%。 🇺🇸 Price Monitor: LABUSDT (LAB) -4.2% in the past 30 seconds 💰 市值 LAB MarketCap: 397M
1777705930359,1777705920000,BWE_pricechange_monitor,78719,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 3%。 🇺🇸 Price Monitor: LABUSDT (LAB) +3% in the past 3 seconds 💰 市值 LAB MarketCap: 397M
1777706054569,1777706040000,BWE_pricechange_monitor,78720,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.3%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.3% in the past 3 seconds 💰 市值 LAB MarketCap: 397M
1777706199474,1777706160000,BWE_pricechange_monitor,78721,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 30 秒内上涨 4.3%。 🇺🇸 Price Monitor: LABUSDT (LAB) +4.3% in the past 30 seconds 💰 市值 LAB MarketCap: 397M
1777706656987,1777706640000,BWE_pricechange_monitor,78722,down,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内下跌 2.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) -2.6% in the past 3 seconds 💰 市值 LAB MarketCap: 397M
1777706659238,1777706640000,BWE_pricechange_monitor,78723,down,"🇨🇳 Bybit.P 监控：LABUSDT 在过去 10 秒内下跌了 6.8%，买价：1.51688，卖价：1.51908，最新价：1.51908。 🇺🇸 Bybit.P Monitor: LABUSDT -6.8% in the past 10 seconds, bid: 1.51688, ask: 1.51908, last: 1.51908. 💰 市值 LAB MarketCap: 397M"
1777706777893,1777706760000,BWE_pricechange_monitor,78724,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内上涨 3.1%。 🇺🇸 Price Monitor: LABUSDT (LAB) +3.1% in the past 10 seconds 💰 市值 LAB MarketCap: 397M
1777707369033,1777707360000,BWE_pricechange_monitor,78725,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.8%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.8% in the past 3 seconds 💰 市值 LAB MarketCap: 397M
1777707611147,1777707600000,BWE_pricechange_monitor,78726,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.5%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.5% in the past 3 seconds 💰 市值 LAB MarketCap: 397M
1777707821320,1777707780000,BWE_pricechange_monitor,78727,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内上涨 3.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) +3.6% in the past 60 seconds 💰 市值 LAB MarketCap: 397M
1777707944550,1777707900000,BWE_pricechange_monitor,78728,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 60 秒内上涨 3.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) +3.6% in the past 60 seconds 💰 市值 LAB MarketCap: 397M
1777708078048,1777708020000,BWE_pricechange_monitor,78729,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 1.5%。 🇺🇸 Price Monitor: LABUSDT (LAB) +1.5% in the past 3 seconds 💰 市值 LAB MarketCap: 397M
1777708202271,1777708200000,BWE_pricechange_monitor,78730,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内上涨 2.5%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.5% in the past 10 seconds 💰 市值 LAB MarketCap: 397M
1777708396108,1777708380000,BWE_pricechange_monitor,78731,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内上涨 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2% in the past 10 seconds 💰 市值 LAB MarketCap: 397M
1777708518086,1777708500000,BWE_pricechange_monitor,78732,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 10 秒内上涨 2%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2% in the past 10 seconds 💰 市值 LAB MarketCap: 397M
1777708828379,1777708800000,BWE_pricechange_monitor,78733,up,🇨🇳 价格监测：LABUSDT (LAB) 在过去 3 秒内上涨 2.6%。 🇺🇸 Price Monitor: LABUSDT (LAB) +2.6% in the past 3 seconds 💰 市值 LAB MarketCap: 372M
