reject_reason,strategy_family,exit_family,side,entry_timing,rejected_strategies,median_sample_size,max_sample_size,best_robust_score
median_net_lte_0,state_machine_runner,runner_trail,long,3m,60,764.0,7317,-0.0029361395635642
median_net_lte_0,state_machine_runner,multi_tp_sl,long,T0,60,251.0,1401,-0.0020623025057557
sample_size_lt_20,state_machine_runner,time_decay,short,T0,60,0.0,7,-10.001
sample_size_lt_20,cross_channel_continuation,runner_trail,short,T0,60,0.0,19,-10.0013
sample_size_lt_20,liquidity_filtered_momentum,multi_tp_sl,short,3m,60,0.0,16,-9.986552032461017
sample_size_lt_20,oi_funding_continuation,fixed_tp_sl,long,T0,60,0.0,15,-9.991918028891089
sample_size_lt_20,state_machine_runner,runner_trail,short,T0,59,0.0,8,-10.0013
sample_size_lt_20,freshness_strict_confirmation,time_decay,short,5m,59,0.0,14,-10.0007
sample_size_lt_20,freshness_strict_confirmation,trailing_stop,short,5m,59,0.0,19,-9.998263802995766
median_net_lte_0,freshness_strict_confirmation,partial_ladder,long,5m,59,921.0,7317,-0.0030547860790975
sample_size_lt_20,taker_flow_reversal,failed_continuation,long,30s,59,0.0,1,-10.0007
sample_size_lt_20,freshness_strict_confirmation,fixed_tp_sl,short,30s,59,0.0,1,-10.0013
sample_size_lt_20,taker_flow_reversal,breakeven_ratchet,long,30s,59,0.0,16,-10.0007
sample_size_lt_20,state_machine_runner,breakeven_ratchet,long,T0,59,0.0,18,-9.901576270967722
sample_size_lt_20,state_machine_runner,breakeven_ratchet,short,3m,59,0.0,4,-9.99938075991338
sample_size_lt_20,state_machine_runner,prove_or_exit,short,T0,58,0.0,8,-9.9719666276671
sample_size_lt_20,taker_flow_reversal,fixed_tp_sl,long,30s,58,0.0,0,-10.0007
sample_size_lt_20,taker_flow_reversal,time_decay,long,30s,58,0.0,3,-10.0007
sample_size_lt_20,cross_channel_continuation,fixed_tp_sl,short,T0,58,4.0,18,-10.0016
median_net_lte_0,state_machine_runner,breakeven_ratchet,long,T0,58,354.0,1401,-0.0032956820093281
sample_size_lt_20,premium_basis_overheat,state_machine,long,5m,57,0.0,17,-9.957602865955234
sample_size_lt_20,cross_channel_continuation,runner_trail,short,1m,57,0.0,8,-9.999704587174394
median_net_lte_0,premium_basis_overheat,partial_ladder,long,1m,57,475.0,7317,-0.0022512715662457
sample_size_lt_20,contrarian_crash_fade,prove_or_exit,long,3m,57,0.0,0,-10.0007
median_net_lte_0,freshness_strict_confirmation,failed_continuation,long,5m,57,921.0,7317,-0.0032299883295781
sample_size_lt_20,cross_channel_continuation,indicator_invalidation,long,T0,57,0.0,14,-10.001
sample_size_lt_20,oi_funding_continuation,runner_trail,long,T0,57,0.0,18,-9.93969271388948
sample_size_lt_20,message_context_breakout,time_decay,short,1m,57,0.0,2,-10.0007
sample_size_lt_20,liquidity_filtered_momentum,trailing_stop,short,3m,57,0.0,14,-10.001
sample_size_lt_20,contrarian_crash_fade,failed_continuation,short,30s,57,0.0,2,-10.0007
sample_size_lt_20,taker_flow_reversal,failed_continuation,short,3m,56,0.0,17,-10.001
sample_size_lt_20,cross_channel_continuation,runner_trail,long,T0,56,0.0,19,-9.970364015790077
median_net_lte_0,liquidity_filtered_momentum,fixed_tp_sl,long,T0,56,330.0,1401,-0.0037080182668752
median_net_lte_0,liquidity_filtered_momentum,partial_ladder,long,3m,56,688.0,7317,-0.0029779976705648
median_net_lte_0,liquidity_filtered_momentum,partial_ladder,short,3m,56,735.0,7317,-0.0033567494389601
sample_size_lt_20,cross_channel_continuation,indicator_invalidation,short,T0,56,0.0,0,-10.001
