strategy_id,strategy_family,channel,event_type,side,entry_timing,exit_family,horizon_min,sample_size,sample_tier,median_net_pct,p10_net_pct,stress_fee_slippage_median_net_pct,stress_latency_median_net_pct,walk_forward_positive_rate_pct,top_symbol_share_pct,robust_score,stability_score,baseline_lift_median_pct,strategy_similarity_cluster_id,future_safety_pass,decision
v6_09783052e10ee57a53,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_a08d9fa1ef775aec9a,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_3e69e4becf4215b425,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_b06f1d5a56f7e32909,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_871fa09885235e6f47,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_dfc87aecf431fee9d9,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_ae25a1b70ca3ae89df,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_ce2e4336d58a154e80,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_ef19fbd458246d767f,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_df8f10d63b8862421a,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
v6_9a6e27e4f9eb0be7f6,oi_funding_continuation,ANY,crash,short,3m,time_decay,240,34,exploratory_watchlist,23.821711540222168,-4.224158823490143,23.55339527130127,23.67171347141266,100.0,32.35294117647059,0.0724035139203071,0.72169575,24.27344098687172,cluster_1cf6ac0b8b,True,watchlist
